name,description,logo,job_type,job_detail,category
Javascript,"자바스크립트는 객체 기반의 스크립트 프로그래밍 언어이다. 이 언어는 웹 브라우저 내에서 주로 사용하며, 다른 응용 프로그램의 내장 객체에도 접근할 수 있는 기능을 가지고 있다. 또한 Node.js와 같은 런타임 환경과 같이 서버 사이드 네트워크 프로그래밍에도 사용되고 있다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_javascript_512x512.png,developer,frontend,language
Typescript,"타입스크립트는 자바스크립트의 슈퍼셋인 오픈소스 프로그래밍 언어이다. 마이크로소프트에서 개발, 유지하고 있으며 엄격한 문법을 지원한다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_typescript_512x512.png,developer,frontend,language
Vue,Vue.js는 웹 애플리케이션의 사용자 인터페이스를 만들기 위해 사용하는 오픈 소스 프로그레시브 자바스크립트 프레임워크이다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_vuejs_512x512.png,developer,frontend,framework
React,컴퓨팅에서 리액트는 자바스크립트 라이브러리의 하나로서 사용자 인터페이스를 만들기 위해 사용된다. 페이스북과 개별 개발자 및 기업들 공동체에 의해 유지보수된다. 리액트는 싱글 페이지나 모바일 애플리케이션의 개발 시 토대로 사용될 수 있다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_react_512x512.png,developer,frontend,framework
Angular,"AngularJS는 자바스크립트 기반의 오픈 소스 프론트엔드 웹 애플리케이션 프레임워크의 하나로, 싱글 페이지 애플리케이션 개발 중에 마주치는 여러 문제들을 해결하기 위해 개발되었으며 주로 구글과 개별 커뮤니티, 여러 회사에 의해 유지보수되고 있다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_angular_512x512.png,developer,frontend,framework
jQuery,jQuery는 HTML의 클라이언트 사이드 조작을 단순화 하도록 설계된 크로스 플랫폼의 자바스크립트 라이브러리다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_jquery_512x512.png,developer,frontend,framework
Kotlin,"코틀린은 JVM에서 동작하는 프로그래밍 언어이다. 2011년 7월, 젯브레인사가 공개하였다. 파일 확장자는 .kt 또는 .kts를 사용한다. 코틀린은 2019년 5월 7일 이후로 구글의 안드로이드 앱 개발에서 선호하는 언어가 되었다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_kotlin_512x512.png,developer,backend,language
Java,자바는 썬 마이크로시스템즈의 제임스 고슬링과 다른 연구원들이 개발한 객체 지향적 프로그래밍 언어이다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_java_512x512.png,developer,backend,language
Javascript,"자바스크립트는 객체 기반의 스크립트 프로그래밍 언어이다. 이 언어는 웹 브라우저 내에서 주로 사용하며, 다른 응용 프로그램의 내장 객체에도 접근할 수 있는 기능을 가지고 있다. 또한 Node.js와 같은 런타임 환경과 같이 서버 사이드 네트워크 프로그래밍에도 사용되고 있다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_javascript_512x512.png,developer,backend,language
Python,"파이썬은 1991년 프로그래머인 귀도 반 로섬이 발표한 고급 프로그래밍 언어로, 플랫폼에 독립적이며 인터프리터식, 객체지향적, 동적 타이핑 대화형 언어이다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_python_512x512.png,developer,backend,language
PHP,PHP는 프로그래밍 언어의 일종이다. 원래는 동적 웹 페이지를 만들기 위해 설계되었으며 이를 구현하기 위해 PHP로 작성된 코드를 HTML 소스 문서 안에 넣으면 PHP 처리 기능이 있는 웹 서버에서 해당 코드를 인식하여 작성자가 원하는 웹 페이지를 생성한다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_php_512x512.png,developer,backend,language
Ruby,"루비는 마츠모토 유키히로가 개발한 동적 객체 지향 스크립트 프로그래밍 언어이다. 루비는 순수 객체 지향 언어라, 정수나 문자열 등을 포함한 데이터 형식 등 모든 것이 객체이다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_ruby_512x512.png,developer,backend,language
C#,"C#는 마이크로소프트에서 개발한 객체 지향 프로그래밍 언어로, 닷넷 프레임워크의 한 부분으로 만들었으며 나중에 ECMA 와 ISO 의 표준으로 자리잡았다. C++와 자바의 문법과 비슷한 문법을 가지고 있다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_c%23_512x512.png,developer,backend,language
Go,"Go는 2009년 구글이 개발한 프로그래밍 언어이다. 가비지 컬렉션 기능이 있고, 병행성을 잘 지원하는 컴파일 언어다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_go_512x512.png,developer,backend,language
Typescript,"타입스크립트는 자바스크립트의 슈퍼셋인 오픈소스 프로그래밍 언어이다. 마이크로소프트에서 개발, 유지하고 있으며 엄격한 문법을 지원한다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_typescript_512x512.png,developer,backend,language
Flask,"플라스크는 파이썬으로 작성된 마이크로 웹 프레임워크의 하나로, Werkzeug 툴킷과 Jinja2 템플릿 엔진에 기반을 둔다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_flask_512x512.png,developer,backend,framework
Spring,스프링 프레임워크는 자바 플랫폼을 위한 오픈 소스 애플리케이션 프레임워크로서 간단히 스프링이라고도 한다. 동적인 웹 사이트를 개발하기 위한 여러 가지 서비스를 제공하고 있다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_spring_512x512.png,developer,backend,framework
Node.js,Node.js는 확장성 있는 네트워크 애플리케이션 개발에 사용되는 소프트웨어 플랫폼이다. 작성 언어로 자바스크립트를 활용하며 Non-blocking I/O와 단일 스레드 이벤트 루프를 통한 높은 처리 성능을 가지고 있다.,https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_nodejs_512x512.png,developer,backend,framework
.net,"닷넷 프레임워크는 마이크로소프트에서 개발한 윈도우 프로그램 개발 및 실행 환경이다. 네트워크 작업, 인터페이스 등의 많은 작업을 캡슐화하였고, 공통 언어 런타임이라는 이름의 가상 머신 위에서 작동한다. 오픈 소스 버전으로 닷넷 코어가 있다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_net_512x512.png,developer,backend,framework
Spring-Boot,"스프링부트는 단독실행되는, 실행하기만 하면 되는 상용화 가능한 수준의, 스프링 기반 애플리케이션을 쉽게 만들어낼 수 있다. 최소한의 설정으로 스프링 플랫폼과 서드파티 라이브러리들을 사용할 수 있도록 하고 있다.",https://stack101-icon.s3.ap-northeast-2.amazonaws.com/stack%26company_icon/stack/stack_springboot_512x512.png,developer,backend,framework
